Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Comment,Status Category
"veriy customer,first name and last name with alphabetic value",UN-45,10044,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,"customer,first name and last name with alphabetic value",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0008f:,,,,,,,,,,,,,,To Do
verify mandatory field with empty space,UN-44,10043,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,inside customer details to be edited mandatory fields should not be empty,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00087:,,,,,,,,,,,,,,To Do
verify mandatory field are marked with astrick*,UN-43,10042,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,inside customer details to be edited mandatory fields should be marked wit astrick,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0007z:,,,,,,,,,,,,,,To Do
verify there is textbox beside eac label of customer details,UN-42,10041,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,textbox to be present,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0007r:,,,,,,,,,,,,,,To Do
"verify following labels Store,currency,Customer,Customer Group,First name,lastname,email,phone no.,fax and continue button",UN-41,10040,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,"customer details form should have the following labels Store,currency,Customer,Customer Group,First name,lastname,email,phone no.,fax and continue button",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0007j:,,,,,,,,,,,,,,To Do
verify wether thecustomer details form can be edited,UN-40,10039,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,verify wether thecustomer details form can be edited,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0007b:,,,,,,,,,,,,,,To Do
verify edit button,UN-39,10038,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,edit button should allow us to edit the customer details,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i00073:,,,,,,,,,,,,,,To Do
verify add history button,UN-38,10037,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 3:00 PM,21/Feb/22 9:57 AM,,,0,,add history button should add the add order history form,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0006j:,,,,,,,,,,,,,,To Do
verify add order history form after viewing a certain order details,UN-37,10036,Test,To Do,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:38 PM,16/Feb/22 2:38 PM,21/Feb/22 9:57 AM,,,0,,"order history form should contain 
order status ,override,notify customer,comment.add hoistory button",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0006n:,,,,,,,,,,,,,,To Do
verify view button,UN-36,10035,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:37 PM,16/Feb/22 4:54 PM,16/Feb/22 4:39 PM,,,0,,clicking view button should show entire details of the order,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-7,,,,,,,,,,,,,,,{},,,,0|i0009z:,,,,,Sprint 1,,,,,,,,,Done
"very order shown has view,edit and delete button on R.H.S",UN-35,10034,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:37 PM,16/Feb/22 4:54 PM,16/Feb/22 4:18 PM,,,0,,"very order shown has view,edit and delete button on R.H.S
for various activities",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-7,,,,,,,,,,,,,,,{},,,,0|i0001a:zx,,,,,Sprint 1,,,,,,,,,Done
verify customer field with alphanumeric values,UN-34,10033,Test,Done,UN,uniform,software,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,,Medium,,,,Abhinai Tamang,620b32e9bba9ca0070c9f7e1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,16/Feb/22 2:37 PM,16/Feb/22 4:54 PM,16/Feb/22 4:35 PM,,,0,,customer field accepts only albhabetic value,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,UN-7,,,,,,,,,,,,,,,{},,,,0|i0001a:zv,,,,,Sprint 1,,,,,,,,,Done
